年月,日,気圧（現地）,気圧（海面）,降水量_合計,降水量_最大_1h,降水量_最大_10m,気温_平均,気温_最高,気温_最低,湿度_平均,湿度_最小,平均風速,最大風速,最大風速_風向,最大瞬間風速,最大瞬間風速_風向,日照時間,point
201601,1,1020.0,1025.3,0.0,0.0,0.0,8.3,13.0,5.2,47.0,21.0,3.4,6.3,0,9.9,0,9.4,A
201601,2,1016.4,1021.6,0.0,0.0,0.0,7.9,13.3,3.7,55.0,39.0,2.2,5.2,0,8.7,0,5.9,A
201601,3,1011.0,1016.2,0.0,0.0,0.0,10.1,15.4,5.2,64.0,45.0,2.0,3.9,0,5.5,0,7.9,A
201601,4,1008.2,1013.4,0.0,0.0,0.0,10.8,14.7,6.4,58.0,43.0,1.9,4.4,0,6.5,0,9.3,A
201601,5,1010.9,1016.0,0.0,0.0,0.0,11.8,14.8,8.4,51.0,31.0,2.1,3.7,0,6.5,0,8.0,A
201601,6,1011.7,1016.9,0.0,0.0,0.0,9.7,11.2,8.6,73.0,65.0,2.3,4.7,0,6.4,0,0.4,A
201601,7,1007.1,1012.3,0.0,0.0,0.0,9.3,13.5,6.0,54.0,36.0,3.2,7.9,0,12.8,0,6.4,A
201601,8,1008.0,1013.2,0.0,0.0,0.0,8.1,11.6,4.9,48.0,38.0,2.6,5.6,0,9.3,0,8.4,A
201601,9,1011.9,1017.1,0.0,0.0,0.0,8.1,11.7,4.1,55.0,33.0,2.5,5.8,0,9.4,0,9.3,A
201601,10,1011.3,1016.5,0.0,0.0,0.0,8.4,13.0,3.6,58.0,36.0,2.4,4.7,0,8.2,0,9.5,A
201601,11,1011.7,1017.0,0.0,0.0,0.0,7.9,10.6,5.8,57.0,40.0,2.6,3.9,0,7.2,0,1.7,A
201601,12,1009.5,1014.8,0.0,0.0,0.0,4.5,7.8,2.8,73.0,60.0,3.4,6.2,0,9.7,0,0.0,A
201601,13,1007.8,1013.0,0.0,0.0,0.0,5.8,10.1,1.9,60.0,41.0,2.0,3.8,0,5.8,0,8.5,A
201601,14,1006.7,1011.9,0.0,0.0,0.0,7.1,11.2,1.6,54.0,31.0,2.0,4.0,0,6.9,0,9.3,A
201601,15,1010.7,1016.0,0.0,0.0,0.0,6.5,10.8,3.3,68.0,44.0,3.5,5.7,0,8.9,0,7.5,A
201601,16,1013.4,1018.6,0.0,0.0,0.0,7.2,10.5,3.6,59.0,38.0,2.6,5.1,0,8.8,0,9.3,A
201601,17,1016.4,1021.7,3.5,2.5,0.5,6.5,8.8,4.3,62.0,52.0,3.3,5.6,0,11.3,0,1.8,A
201601,18,993.5,998.7,45.5,6.5,1.5,4.5,9.3,0.5,90.0,66.0,5.9,9.3,0,19.3,0,0.0,A
201601,19,995.9,1001.2,0.0,0.0,0.0,5.7,9.5,2.0,42.0,25.0,7.0,11.7,0,19.9,0,9.7,A
201601,20,1004.0,1009.2,0.0,0.0,0.0,4.8,10.8,0.4,42.0,26.0,5.2,7.6,0,14.0,0,7.5,A
201601,21,1012.1,1017.4,0.0,0.0,0.0,5.9,10.0,2.0,40.0,27.0,3.0,6.2,0,10.3,0,7.2,A
201601,22,1014.1,1019.4,0.0,0.0,0.0,6.4,10.7,3.5,38.0,28.0,4.0,6.4,0,11.4,0,9.0,A
201601,23,1011.9,1017.2,0.0,0.0,0.0,4.8,6.7,3.1,53.0,36.0,3.2,5.5,0,10.5,0,0.4,A
201601,24,999.3,1004.5,0.0,0.0,0.0,3.6,8.1,0.3,44.0,15.0,4.2,8.6,0,15.1,0,8.2,A
201601,25,1011.3,1016.6,0.0,0.0,0.0,3.6,8.2,-0.9,28.0,14.0,2.5,4.7,0,9.1,0,10.1,A
201601,26,1017.4,1022.8,0.0,0.0,0.0,4.7,9.4,0.6,48.0,28.0,2.5,5.0,0,8.7,0,8.8,A
201601,27,1018.5,1023.8,0.0,0.0,0.0,7.3,13.3,1.4,50.0,27.0,2.5,4.7,0,6.9,0,9.8,A
201601,28,1020.3,1025.6,0.0,0.0,0.0,8.6,13.4,3.1,48.0,26.0,1.8,3.7,0,5.6,0,9.8,A
201601,29,1018.2,1023.5,21.0,8.5,2.0,5.8,7.8,3.4,81.0,53.0,3.2,5.5,0,11.2,0,0.0,A
201601,30,1014.7,1020.0,3.5,6.5,0.5,3.9,5.4,2.0,87.0,72.0,4.2,7.7,0,12.6,0,0.0,A
201601,31,1015.2,1020.5,0.0,0.0,0.0,6.8,9.8,3.5,66.0,42.0,1.9,3.9,0,6.9,0,1.1,A
201602,1,1014.1,1019.4,0.0,0.0,0.0,5.2,6.6,3.7,74.0,58.0,3.1,5.3,0,8.7,0,0.0,A
201602,2,1012.8,1018.0,0.0,0.0,0.0,6.0,9.6,3.3,48.0,33.0,3.8,6.7,0,12.1,0,8.0,A
201602,3,1015.8,1021.1,0.0,0.0,0.0,5.6,8.7,3.3,48.0,33.0,3.9,6.9,0,10.2,0,7.2,A
201602,4,1014.7,1020.0,0.0,0.0,0.0,6.0,9.2,2.8,65.0,48.0,2.3,4.7,0,6.9,0,5.8,A
